ÿJerarquía de grupos,Región,Descripción,Servicio,Inicial,Mensual,Total de los primeros 12 meses,Divisa,Resumen de configuración
My Estimate,US East (Ohio),,Amazon EC2,0,463.69399999999996,5564.33,USD,"Sistema operativo (Windows Server), Cantidad de almacenamiento (1 TB), DT Entrada: All other regions (100 GB al mes), DT Salida: All other regions (100 GB al mes), DT Intra-región: (100 GB al mes), Workload (Consistent, Number of instances: 2), Instancia EC2 por adelantado (t3a.xlarge), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront), Frecuencia de instantáneas (Mensual), Cantidad cambiada por instantánea (400 GB)"
My Estimate,US East (Ohio),,Amazon EC2,0,538.738,6464.86,USD,"Sistema operativo (SUSE Linux Enterprise Server), Cantidad de almacenamiento (1 TB), DT Entrada: All other regions (100 GB al mes), DT Salida: All other regions (100 GB al mes), DT Intra-región: (100 GB al mes), Workload (Consistent, Number of instances: 2), Instancia EC2 por adelantado (t3a.xlarge), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront), Frecuencia de instantáneas (Mensual), Cantidad cambiada por instantánea (400 GB)"
My Estimate,US East (Ohio),,Amazon EC2,0,398.87,4786.44,USD,"Sistema operativo (Red Hat Enterprise Linux), Cantidad de almacenamiento (1 TB), DT Entrada: All other regions (100 GB al mes), DT Salida: All other regions (100 GB al mes), DT Intra-región: (100 GB al mes), Workload (Consistent, Number of instances: 2), Instancia EC2 por adelantado (r6g.large), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront), Frecuencia de instantáneas (Mensual), Cantidad cambiada por instantánea (400 GB)"
My Estimate,US East (Ohio),,Amazon Elastic Block Store (EBS),0,509.12,6109.44,USD,"Número de instancias (4), Duración promedio de la ejecución de cada instancia (730 horas al mes), Cantidad de almacenamiento (1 TB), Frecuencia de instantáneas (Semanal), Cantidad cambiada por instantánea (400 GB)"



Reconocimiento
"* La Calculadora de precios de AWS proporciona únicamente una estimación de sus tarifas de AWS y no incluye los impuestos que puedan aplicarse. El valor real de sus tarifas depende de una serie de factores, entre los que se incluye su uso real de AWS."
